,Item_Weight,Item_Visibility,Item_MRP,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales
76,12.85,0.033230816,3,21,1,2,Supermarket Type1,1207.0954
77,13.35,0.113720344,1,35,0,2,Grocery Store,643.1628
78,19.0,0.112556507,2,13,0,1,Supermarket Type1,1587.933
79,5.905,0.0,4,18,0,1,Supermarket Type1,5305.0944
80,7.76,0.059352241,2,23,0,2,Supermarket Type1,1697.79
81,11.8,0.014087057,3,23,0,2,Supermarket Type1,1427.4752
82,16.75,0.045230944,4,11,1,0,Supermarket Type2,4693.89
83,18.85,0.293417759,4,35,0,2,Grocery Store,583.2408
84,12.6,0.031382044,3,35,1,0,Supermarket Type3,3091.9752
85,15.5,0.12639886,3,13,0,1,Supermarket Type1,2479.4392
86,6.055,0.025403898,3,16,0,1,Supermarket Type1,2716.464
87,20.2,0.039057677,3,35,1,0,Supermarket Type3,3285.723
88,6.305,0.123115764,2,23,0,2,Supermarket Type1,661.8052
89,20.85,0.039624006,2,21,1,2,Supermarket Type1,1523.3504
90,20.75,0.040421193,2,22,0,0,Grocery Store,369.519
91,8.895,0.105274111,1,21,1,2,Supermarket Type1,690.4346
92,19.6,0.033970195,1,18,0,1,Supermarket Type1,1381.535
93,19.7,0.053212652,1,16,0,1,Supermarket Type1,622.523
94,9.8,0.024378706,2,16,0,1,Supermarket Type1,1274.3412
95,7.93,0.009714595,2,35,0,2,Grocery Store,487.3656
96,12.15,0.131383762,4,21,1,2,Supermarket Type1,1231.73
97,8.75,0.07461309,4,16,0,1,Supermarket Type1,3755.112
98,12.15,0.028459761,3,35,1,0,Supermarket Type3,4363.6532
99,8.75,0.074627201,4,23,0,2,Supermarket Type1,1314.2892
100,13.3,0.063695084,3,18,0,1,Supermarket Type1,1805.6496
101,20.6,0.045797829,3,35,1,0,Supermarket Type3,2854.9504
102,8.31,0.115857223,3,21,1,2,Supermarket Type1,3896.2616
103,16.75,0.024832806,1,33,2,0,Supermarket Type1,667.7974
104,19.75,0.034027909,4,11,1,0,Supermarket Type2,3185.853
105,17.1,0.0467696,2,33,2,0,Supermarket Type1,2247.7408
106,10.5,0.116576702,3,33,2,0,Supermarket Type1,1794.331
107,6.635,0.0,2,18,0,1,Supermarket Type1,2530.7058
108,9.395,0.278974075,4,35,0,2,Grocery Store,679.116
109,14.15,0.035913805,1,33,2,0,Supermarket Type1,812.276
110,13.3,0.079806266,4,23,0,2,Supermarket Type1,699.09
111,8.89,0.005505481,2,13,0,1,Supermarket Type1,2732.4432
112,6.69,0.064625342,3,35,0,2,Grocery Store,176.437
113,6.195,0.071636937,2,35,1,0,Supermarket Type3,4097.3332
114,9.1,0.0,3,18,0,1,Supermarket Type1,3151.8972
115,7.5,0.032677678,4,21,1,2,Supermarket Type1,5942.265
116,16.85,0.160760054,4,13,0,1,Supermarket Type1,4843.695
117,7.485,0.06911065,2,16,0,1,Supermarket Type1,2542.0244
118,11.6,0.041177505,2,13,0,1,Supermarket Type1,2552.6772
119,11.65,0.040081193,4,11,1,0,Supermarket Type2,1141.847
120,13.0,0.035307322,1,13,0,1,Supermarket Type1,680.4476
121,12.65,0.063017847,3,18,0,1,Supermarket Type1,2085.9514
122,20.25,0.171938781,1,22,0,0,Grocery Store,186.424
123,8.6,0.040197932,4,16,0,1,Supermarket Type1,3036.048
124,12.6,0.049058014,1,13,0,1,Supermarket Type1,866.8716
125,17.7,0.01161096,2,16,0,1,Supermarket Type1,868.869
126,14.15,0.183507295,1,23,0,2,Supermarket Type1,1137.1864
127,19.25,0.102349519,1,13,0,1,Supermarket Type1,928.1252
128,8.88,0.086708987,3,33,2,0,Supermarket Type1,762.341
129,20.5,0.032835147,1,18,0,1,Supermarket Type1,707.0796
130,12.0,0.033809913,3,35,1,0,Supermarket Type3,7968.2944
131,13.5,0.07266912,3,23,0,2,Supermarket Type1,1438.128
132,12.15,0.144338493,4,35,1,0,Supermarket Type3,6976.2524
133,8.89,0.009163216,2,22,0,0,Grocery Store,101.2016
134,7.855,0.011307038,4,11,1,0,Supermarket Type2,952.094
135,7.235,0.076855628,2,23,0,2,Supermarket Type1,1969.4364
136,18.25,0.059956876,3,35,1,0,Supermarket Type3,5262.4832
137,6.92,0.038532062,1,18,0,1,Supermarket Type1,1314.2892
138,9.3,0.043209581,1,13,0,1,Supermarket Type1,535.3032
139,18.5,0.056816465,2,22,0,0,Grocery Store,263.6568
140,8.02,0.019866705,3,16,0,1,Supermarket Type1,1402.1748
141,9.195,0.048331717,2,13,0,1,Supermarket Type1,1693.7952
142,12.8,0.091221855,2,18,0,1,Supermarket Type1,2143.876
143,16.6,0.027622076,3,21,1,2,Supermarket Type1,2676.516
144,14.0,0.0,1,16,0,1,Supermarket Type1,905.488
145,18.6,0.039355947,4,21,1,2,Supermarket Type1,7370.406
146,16.0,0.060836524,4,16,0,1,Supermarket Type1,6301.1312
147,17.6,0.082316506,3,16,0,1,Supermarket Type1,1597.92
148,21.25,0.155350299,3,16,0,1,Supermarket Type1,529.311
149,7.235,0.076841095,2,16,0,1,Supermarket Type1,1969.4364
150,14.6,0.151419185,1,13,0,1,Supermarket Type1,1034.6532
151,13.85,0.026001976,3,11,1,0,Supermarket Type2,1794.331
152,13.65,0.073209447,4,11,1,0,Supermarket Type2,2768.3964
153,9.5,0.041683481,1,35,1,0,Supermarket Type3,898.83
154,7.365,0.042560252,4,23,0,2,Supermarket Type1,3169.208
155,18.35,0.014081156,4,11,1,0,Supermarket Type2,3589.9936
156,5.465,0.0,2,11,1,0,Supermarket Type2,262.3252
157,18.6,0.152918384,2,13,0,1,Supermarket Type1,1910.1802
158,13.85,0.030969274,2,13,0,1,Supermarket Type1,1701.7848
159,14.0,0.060376776,3,33,2,0,Supermarket Type1,2471.4496
160,14.0,0.04192285,1,33,2,0,Supermarket Type1,1331.6
161,21.35,0.077367431,2,35,1,0,Supermarket Type3,1808.9786
162,5.905,0.045838211,4,11,1,0,Supermarket Type2,3315.684
163,7.27,0.071077939,2,23,0,2,Supermarket Type1,2618.5914
164,6.155,0.094659871,4,23,0,2,Supermarket Type1,2769.728
165,19.5,0.077608838,4,13,0,1,Supermarket Type1,5375.0034
166,15.2,0.021327477,4,13,0,1,Supermarket Type1,2838.9712
167,12.15,0.042485444,2,11,1,0,Supermarket Type2,1743.0644
168,14.6,0.025578526,4,35,1,0,Supermarket Type3,5555.4352
169,12.6,0.0489808,1,11,1,0,Supermarket Type2,619.194
170,14.5,0.019471688,3,16,0,1,Supermarket Type1,2120.573
171,16.6,0.122918852,3,13,0,1,Supermarket Type1,3823.0236
172,11.8,0.057373797,3,33,2,0,Supermarket Type1,1360.2294
173,13.1,0.044155597,3,33,2,0,Supermarket Type1,3969.4996
174,17.7,0.291865402,2,22,0,0,Grocery Store,345.5502
175,17.85,0.0,4,22,0,0,Grocery Store,585.2382
176,12.3,0.064750025,1,18,0,1,Supermarket Type1,1010.6844
177,11.8,0.098312421,1,22,0,0,Grocery Store,161.1236
178,9.395,0.191013663,1,35,0,2,Grocery Store,42.6112
179,11.1,0.176573035,3,18,0,1,Supermarket Type1,3010.7476
180,14.0,0.060134441,3,35,1,0,Supermarket Type3,6024.1584
181,11.3,0.007294652,4,18,0,1,Supermarket Type1,988.713
182,10.0,0.128478462,2,35,0,2,Grocery Store,239.688
183,5.75,0.075107656,2,33,2,0,Supermarket Type1,1374.2112
184,6.215,0.049381406,4,35,1,0,Supermarket Type3,4739.8302
185,11.35,0.045165796,2,11,1,0,Supermarket Type2,1012.016
186,11.1,0.09415375,3,35,0,2,Grocery Store,657.8104
187,14.0,0.028907832,2,21,1,2,Supermarket Type1,778.986
188,19.75,0.018059621,3,18,0,1,Supermarket Type1,2336.958
189,6.525,0.090436094,1,21,1,2,Supermarket Type1,2233.0932
190,10.3,0.146399712,2,21,1,2,Supermarket Type1,1661.8368
191,5.78,0.074264356,4,21,1,2,Supermarket Type1,4745.8224
192,11.85,0.050186726,3,18,0,1,Supermarket Type1,3124.5994
193,16.35,0.020631654,1,11,1,0,Supermarket Type2,467.3916
194,17.6,0.01561108,3,35,1,0,Supermarket Type3,5070.7328
195,10.5,0.041395445,1,23,0,2,Supermarket Type1,540.6296
196,19.0,0.097313129,1,23,0,2,Supermarket Type1,992.7078
197,14.6,0.059582996,4,21,1,2,Supermarket Type1,6008.845
198,15.6,0.098663652,1,35,1,0,Supermarket Type3,2105.2596
199,4.615,0.101338651,4,35,1,0,Supermarket Type3,5359.69
200,18.75,0.052146456,2,18,0,1,Supermarket Type1,745.696
201,5.26,0.041764487,3,16,0,1,Supermarket Type1,3275.736
202,18.25,0.054344186,2,18,0,1,Supermarket Type1,1701.7848
203,10.3,0.078362484,3,35,1,0,Supermarket Type3,6704.606
204,15.1,0.052339069,4,23,0,2,Supermarket Type1,4119.9704
205,15.5,0.042464962,1,22,0,0,Grocery Store,327.5736
206,13.65,0.065732883,1,21,1,2,Supermarket Type1,780.9834
207,16.1,0.023625114,4,18,0,1,Supermarket Type1,3630.6074
208,5.175,0.051643608,2,35,0,2,Grocery Store,317.5866
209,12.85,0.165694219,1,22,0,0,Grocery Store,231.6984
210,9.5,0.041878397,1,16,0,1,Supermarket Type1,133.16
211,13.8,0.058091482,4,16,0,1,Supermarket Type1,5650.6446
212,5.78,0.0,4,13,0,1,Supermarket Type1,2636.568
213,19.7,0.026903714,2,18,0,1,Supermarket Type1,1272.3438
214,14.65,0.0,3,22,0,0,Grocery Store,324.9104
215,6.67,0.150554711,2,22,0,0,Grocery Store,131.1626
216,6.11,0.0,2,22,0,0,Grocery Store,260.9936
217,13.65,0.134975628,4,22,0,0,Grocery Store,260.9936
218,17.2,0.15616879,3,33,2,0,Supermarket Type1,3690.5294
219,6.32,0.0,1,16,0,1,Supermarket Type1,1139.1838
220,4.88,0.133700752,1,21,1,2,Supermarket Type1,1995.4026
221,5.425,0.115119905,1,13,0,1,Supermarket Type1,1416.8224
222,15.85,0.110030997,1,23,0,2,Supermarket Type1,265.6542
223,7.5,0.051038045,2,13,0,1,Supermarket Type1,3552.7088
224,12.65,0.062837968,3,33,2,0,Supermarket Type1,2406.867
225,9.06,0.017116983,4,35,0,2,Grocery Store,213.056
226,20.75,0.024129332,2,33,2,0,Supermarket Type1,2956.152
227,8.93,0.049754975,3,35,0,2,Grocery Store,153.134
228,9.0,0.0,1,16,0,1,Supermarket Type1,1649.8524
229,16.7,0.101561568,3,35,1,0,Supermarket Type3,3101.2964
230,6.36,0.005949644,3,35,1,0,Supermarket Type3,4769.1254
231,5.365,0.13956116,3,35,1,0,Supermarket Type3,3435.528
232,14.1,0.126035694,1,18,0,1,Supermarket Type1,1133.8574
233,7.55,0.027164679,3,16,0,1,Supermarket Type1,2603.278
234,13.0,0.099325278,1,23,0,2,Supermarket Type1,605.878
235,9.3,0.04357366,4,35,1,0,Supermarket Type3,2293.0152
236,17.6,0.082741482,2,35,0,2,Grocery Store,119.1782
237,12.3,0.064565202,1,33,2,0,Supermarket Type1,1929.4884
238,7.05,0.084554569,2,35,1,0,Supermarket Type3,2074.6328
239,11.8,0.058451805,1,35,1,0,Supermarket Type3,241.6854
240,17.25,0.113748685,4,18,0,1,Supermarket Type1,6795.1548
241,15.85,0.020603511,1,13,0,1,Supermarket Type1,639.168
242,18.85,0.052044976,4,16,0,1,Supermarket Type1,3248.4382
243,16.35,0.062764429,4,13,0,1,Supermarket Type1,7222.5984
244,14.1,0.087977262,4,16,0,1,Supermarket Type1,3225.1352
245,7.905,0.010010425,4,16,0,1,Supermarket Type1,3755.112
246,12.0,0.033946163,3,33,2,0,Supermarket Type1,3440.8544
247,12.15,0.058414678,3,16,0,1,Supermarket Type1,974.7312
248,10.1,0.027106459,1,21,1,2,Supermarket Type1,535.969
249,17.5,0.027022883,4,13,0,1,Supermarket Type1,5259.82
250,18.35,0.058153409,3,35,0,2,Grocery Store,306.268
251,17.1,0.128937661,2,11,1,0,Supermarket Type2,1779.0176
252,7.785,0.088846306,1,21,1,2,Supermarket Type1,759.012
253,11.8,0.09357779,2,33,2,0,Supermarket Type1,1877.556
254,13.15,0.165694678,3,18,0,1,Supermarket Type1,3779.0808
255,6.4,0.148392623,1,35,0,2,Grocery Store,41.2796
256,8.5,0.098438394,1,13,0,1,Supermarket Type1,259.662
257,8.645,0.143303291,2,33,2,0,Supermarket Type1,193.082
258,17.6,0.076276208,2,18,0,1,Supermarket Type1,1687.803
259,9.1,0.175103435,2,13,0,1,Supermarket Type1,4655.9394
260,12.8,0.023511371,4,33,2,0,Supermarket Type1,4950.8888
261,7.63,0.06105276,2,16,0,1,Supermarket Type1,1418.154
262,9.285,0.049559042,4,13,0,1,Supermarket Type1,1225.072
263,13.6,0.119418124,4,18,0,1,Supermarket Type1,5359.69
264,8.895,0.072545601,3,18,0,1,Supermarket Type1,1764.37
265,16.35,0.090486828,4,33,2,0,Supermarket Type1,2553.343
266,17.6,0.056245075,1,33,2,0,Supermarket Type1,1006.6896
267,7.975,0.014618973,1,33,2,0,Supermarket Type1,1081.925
268,15.85,0.043479126,1,13,0,1,Supermarket Type1,308.9312
269,15.7,0.045166237,3,33,2,0,Supermarket Type1,2516.724
270,8.985,0.057827101,2,23,0,2,Supermarket Type1,1428.141
271,20.35,0.089394766,4,33,2,0,Supermarket Type1,2093.2752
272,6.59,0.10550944,1,33,2,0,Supermarket Type1,1929.4884
273,19.85,0.005234153,4,16,0,1,Supermarket Type1,5829.7448
274,16.85,0.036390174,1,23,0,2,Supermarket Type1,2082.6224
275,19.35,0.03292824,3,35,1,0,Supermarket Type3,7298.4996
276,16.75,0.081252534,4,33,2,0,Supermarket Type1,7452.9652
277,17.6,0.076552407,2,13,0,1,Supermarket Type1,450.0808
278,7.905,0.016758569,4,22,0,0,Grocery Store,500.6816
279,17.85,0.044248175,2,35,1,0,Supermarket Type3,3668.558
280,7.785,0.038288087,2,11,1,0,Supermarket Type2,736.3748
281,7.825,0.186032678,4,16,0,1,Supermarket Type1,6088.0752
282,9.0,0.031867464,2,35,1,0,Supermarket Type3,2125.2336
283,20.75,0.021370201,3,13,0,1,Supermarket Type1,2277.036
284,11.1,0.193772568,4,35,0,2,Grocery Store,573.2538
285,6.26,0.009866049,3,16,0,1,Supermarket Type1,2267.049
286,18.2,0.082551042,3,22,0,0,Grocery Store,296.9468
287,13.0,0.099729888,1,11,1,0,Supermarket Type2,559.272
288,20.25,0.018801549,4,16,0,1,Supermarket Type1,5559.43
289,8.695,0.119721451,2,21,1,2,Supermarket Type1,1237.7222
290,7.27,0.071222087,2,18,0,1,Supermarket Type1,569.259
291,10.695,0.060371962,3,35,1,0,Supermarket Type3,3866.9664
292,12.85,0.033287541,4,18,0,1,Supermarket Type1,1379.5376
293,7.075,0.05858462,3,11,1,0,Supermarket Type2,1869.5664
294,20.2,0.11679292,4,35,1,0,Supermarket Type3,5499.508
295,8.195,0.031452265,2,21,1,2,Supermarket Type1,925.462
296,7.09,0.00721395,1,16,0,1,Supermarket Type1,583.2408
297,6.095,0.081196619,2,23,0,2,Supermarket Type1,1418.154
298,19.35,0.049916364,1,13,0,1,Supermarket Type1,942.7728
299,6.15,0.04627095,2,23,0,2,Supermarket Type1,2364.9216
300,17.35,0.02747716,1,35,1,0,Supermarket Type3,3251.7672
301,20.2,0.104704537,2,35,0,2,Grocery Store,254.3356
302,17.7,0.012540003,3,16,0,1,Supermarket Type1,5895.659
303,17.85,0.147023834,1,11,1,0,Supermarket Type2,1134.5232
304,9.395,0.159657596,4,18,0,1,Supermarket Type1,7696.648
305,15.75,0.141398626,4,13,0,1,Supermarket Type1,2775.7202
306,7.475,0.148821808,4,18,0,1,Supermarket Type1,5317.0788
307,7.075,0.0,2,11,1,0,Supermarket Type2,874.8612
308,6.445,0.029691762,1,23,0,2,Supermarket Type1,1039.9796
309,19.1,0.096715523,4,16,0,1,Supermarket Type1,3038.0454
310,20.25,0.014790559,4,16,0,1,Supermarket Type1,3848.324
311,15.0,0.054378253,1,23,0,2,Supermarket Type1,527.3136
312,6.67,0.123428594,1,23,0,2,Supermarket Type1,2390.8878
313,13.0,0.029943463,1,35,1,0,Supermarket Type3,1677.816
314,16.7,0.052368061,2,33,2,0,Supermarket Type1,801.6232
315,7.07,0.093861144,2,18,0,1,Supermarket Type1,1267.0174
316,6.48,0.033968647,3,18,0,1,Supermarket Type1,886.8456
317,19.0,0.173154079,4,22,0,0,Grocery Store,452.744
318,13.35,0.139735226,3,18,0,1,Supermarket Type1,3877.6192
319,5.98,0.043351896,3,35,1,0,Supermarket Type3,4414.254
320,9.3,0.042086652,2,35,1,0,Supermarket Type3,5448.9072
321,9.695,0.12848269,4,21,1,2,Supermarket Type1,4950.8888
322,15.0,0.049357077,1,13,0,1,Supermarket Type1,958.752
323,11.15,0.008326735,3,13,0,1,Supermarket Type1,1956.1204
324,20.85,0.021362955,2,21,1,2,Supermarket Type1,2404.2038
325,9.8,0.151420934,4,22,0,0,Grocery Store,387.4956
326,16.35,0.032511818,3,33,2,0,Supermarket Type1,994.7052
327,9.6,0.022323658,2,18,0,1,Supermarket Type1,1754.383
328,18.0,0.019292355,2,35,1,0,Supermarket Type3,3340.9844
329,13.35,0.048124443,4,18,0,1,Supermarket Type1,3918.8988
330,20.7,0.09261307,1,33,2,0,Supermarket Type1,306.268
331,15.1,0.094697274,3,35,1,0,Supermarket Type3,4278.4308
332,16.2,0.035984104,4,18,0,1,Supermarket Type1,4425.5726
333,13.8,0.056596985,4,35,1,0,Supermarket Type3,9267.936
334,15.6,0.2047,1,35,0,2,Grocery Store,229.701
335,21.1,0.020618324,2,35,1,0,Supermarket Type3,2055.9904
336,5.5,0.04709821,2,23,0,2,Supermarket Type1,3339.6528
337,15.1,0.087584126,4,18,0,1,Supermarket Type1,6410.3224
338,15.7,0.038078899,2,13,0,1,Supermarket Type1,1992.0736
339,7.895,0.095102092,2,13,0,1,Supermarket Type1,2870.9296
340,17.2,0.011953902,3,35,1,0,Supermarket Type3,2807.0128
341,17.35,0.062799379,1,33,2,0,Supermarket Type1,539.298
342,7.285,0.031125709,3,33,2,0,Supermarket Type1,4377.635
343,20.25,0.026005891,3,18,0,1,Supermarket Type1,2716.464
344,18.75,0.09246392,4,35,0,2,Grocery Store,383.5008
345,15.85,0.107765165,1,21,1,2,Supermarket Type1,703.0848
346,6.17,0.010647477,1,21,1,2,Supermarket Type1,1937.478
347,19.5,0.015749341,3,21,1,2,Supermarket Type1,3307.6944
348,19.2,0.077628053,4,21,1,2,Supermarket Type1,3142.576
349,16.7,0.0,3,11,1,0,Supermarket Type2,2554.0088
350,20.85,0.056695731,2,11,1,0,Supermarket Type2,1869.5664
351,14.5,0.063993068,4,18,0,1,Supermarket Type1,5494.8474
352,11.395,0.069529262,4,33,2,0,Supermarket Type1,6093.4016
353,7.97,0.034452949,3,23,0,2,Supermarket Type1,2586.633
354,7.71,0.06670068,1,21,1,2,Supermarket Type1,1255.6988
355,19.25,0.034699737,2,23,0,2,Supermarket Type1,4093.3384
356,7.075,0.058346939,2,23,0,2,Supermarket Type1,3163.8816
357,19.35,0.065203103,3,35,1,0,Supermarket Type3,5033.448
358,11.6,0.078929571,1,23,0,2,Supermarket Type1,1137.1864
359,8.985,0.182514881,2,35,1,0,Supermarket Type3,2696.49
360,12.1,0.016895293,3,11,1,0,Supermarket Type2,898.83
361,10.0,0.073379745,2,23,0,2,Supermarket Type1,2756.412
362,14.35,0.08075758,1,18,0,1,Supermarket Type1,878.856
363,10.395,0.112271498,1,21,1,2,Supermarket Type1,659.142
364,17.7,0.153741385,3,35,0,2,Grocery Store,182.4292
365,8.1,0.127929521,4,33,2,0,Supermarket Type1,3610.6334
366,8.05,0.07838564,4,16,0,1,Supermarket Type1,5153.292
367,9.195,0.078502143,2,13,0,1,Supermarket Type1,2588.6304
368,20.7,0.047684831,4,11,1,0,Supermarket Type2,1286.3256
369,15.7,0.123159656,2,13,0,1,Supermarket Type1,1230.3984
370,15.1,0.0,1,35,1,0,Supermarket Type3,1733.7432
371,18.35,0.053392944,4,35,0,2,Grocery Store,384.8324
372,16.5,0.036715907,3,18,0,1,Supermarket Type1,3969.4996
373,9.0,0.065236932,3,16,0,1,Supermarket Type1,7763.228
374,6.785,0.041947547,1,33,2,0,Supermarket Type1,809.6128
375,19.5,0.082888496,3,11,1,0,Supermarket Type2,1253.7014
376,7.575,0.055390121,4,23,0,2,Supermarket Type1,5715.2272
377,18.2,0.012194556,1,33,2,0,Supermarket Type1,1464.76
378,16.75,0.060495243,3,33,2,0,Supermarket Type1,3251.1014
379,7.47,0.0,4,16,0,1,Supermarket Type1,4274.436
380,20.35,0.014753811,4,35,1,0,Supermarket Type3,5375.0034
381,18.2,0.160707489,1,35,1,0,Supermarket Type3,1318.284
382,13.85,0.085622362,2,11,1,0,Supermarket Type2,2251.7356
383,6.635,0.046350909,1,13,0,1,Supermarket Type1,1176.4686
384,6.11,0.102920886,2,23,0,2,Supermarket Type1,3523.4136
385,15.25,0.026604781,1,16,0,1,Supermarket Type1,610.5386
386,15.85,0.0,2,16,0,1,Supermarket Type1,1237.7222
387,15.2,0.031860325,4,22,0,0,Grocery Store,474.0496
388,14.65,0.0,1,35,1,0,Supermarket Type3,717.7324
389,20.75,0.021250002,3,23,0,2,Supermarket Type1,2580.6408
390,10.195,0.159936948,3,23,0,2,Supermarket Type1,2552.6772
391,7.605,0.129503146,3,18,0,1,Supermarket Type1,3914.904
392,18.0,0.142688846,1,23,0,2,Supermarket Type1,796.9626
393,13.35,0.179484411,4,35,0,2,Grocery Store,916.1408
394,18.35,0.089163056,4,18,0,1,Supermarket Type1,3259.7568
395,6.59,0.105761491,1,21,1,2,Supermarket Type1,1677.816
396,13.8,0.056960814,4,21,1,2,Supermarket Type1,3707.1744
397,21.2,0.00704098,3,23,0,2,Supermarket Type1,2954.1546
398,10.5,0.011026594,3,11,1,0,Supermarket Type2,2652.5472
399,8.97,0.093203257,1,18,0,1,Supermarket Type1,1037.3164
400,10.895,0.026916794,1,35,1,0,Supermarket Type3,717.7324
401,10.6,0.035264298,1,18,0,1,Supermarket Type1,426.112
402,13.65,0.015908424,4,16,0,1,Supermarket Type1,6911.004
403,19.0,0.017719277,4,23,0,2,Supermarket Type1,3811.0392
404,15.6,0.035334201,2,35,1,0,Supermarket Type3,2277.036
405,6.8,0.065652494,1,35,0,2,Grocery Store,48.6034
406,6.865,0.056919038,4,21,1,2,Supermarket Type1,5770.4886
